                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3167,                 3.9343,                 1.3335,                0.27324,                0.19931,                0.07357,                0.04008,                 1.3085,                 78.757,                0.72013,             0.00019503,             0.00019503,             0.00019503
                      2,                 2.0798,                 2.4459,                 1.1633,                0.15131,                0.52566,                0.06504,                0.04024,                 1.2539,                    105,                0.70653,             0.00038716,             0.00038716,             0.00038716
                      3,                 2.0184,                  2.144,                 1.1387,                0.15895,                0.54088,                0.07304,                0.04424,                 1.2033,                 114.92,                0.68949,             0.00057541,             0.00057541,             0.00057541
                      4,                 1.9333,                  1.934,                 1.1239,                 0.1486,                0.49147,                0.06682,                0.03919,                 1.1555,                  98.96,                0.68687,             0.00057054,             0.00057054,             0.00057054
                      5,                 1.8933,                 1.7549,                 1.1091,                 0.1792,                0.61255,                0.10597,                0.07242,                 1.1355,                 158.01,                0.67858,             0.00056472,             0.00056472,             0.00056472
                      6,                 1.8646,                 1.6819,                 1.1008,                 0.0723,                0.68741,                0.09079,                0.06212,                 1.0903,                    149,                0.65169,             0.00055889,             0.00055889,             0.00055889
                      7,                  1.822,                 1.5693,                 1.0863,                0.23422,                0.29483,                0.15002,                0.09305,                 1.1242,                 159.28,                 0.6627,             0.00055307,             0.00055307,             0.00055307
                      8,                 1.8132,                  1.532,                 1.0879,                  0.175,                0.64253,                0.14452,                0.09852,                 1.0943,                 154.92,                0.65487,             0.00054725,             0.00054725,             0.00054725
                      9,                 1.8076,                 1.4659,                 1.0856,                0.07417,                0.73908,                0.08074,                0.05197,                 1.0598,                 159.36,                0.65185,             0.00054143,             0.00054143,             0.00054143
                     10,                 1.7896,                 1.4211,                 1.0768,                0.17664,                  0.633,                0.10698,                0.07485,                 1.0756,                 179.12,                0.65706,             0.00053561,             0.00053561,             0.00053561
                     11,                 1.7684,                 1.3833,                   1.07,                0.07187,                0.65289,                0.09736,                0.06217,                 1.1136,                 139.29,                0.65888,             0.00052979,             0.00052979,             0.00052979
                     12,                 1.7583,                 1.3626,                 1.0657,                0.06275,                0.59636,                0.08935,                0.05548,                 1.0566,                 163.73,                0.64835,             0.00052397,             0.00052397,             0.00052397
                     13,                 1.7416,                 1.3213,                 1.0659,                0.09972,                0.86721,                0.16339,                0.08677,                 1.0883,                 189.01,                0.65091,             0.00051815,             0.00051815,             0.00051815
                     14,                 1.7203,                 1.3086,                 1.0577,                0.07735,                0.70999,                0.10079,                0.06477,                 1.0932,                 155.57,                0.65578,             0.00051232,             0.00051232,             0.00051232
                     15,                 1.7175,                 1.2757,                 1.0563,                0.06877,                0.73166,                 0.1084,                0.07176,                 1.0551,                 151.24,                0.64139,              0.0005065,              0.0005065,              0.0005065
                     16,                 1.6979,                 1.2595,                 1.0536,                0.07383,                0.61707,                0.11676,                 0.0845,                 1.0442,                 165.19,                0.64051,             0.00050068,             0.00050068,             0.00050068
                     17,                 1.7101,                 1.2456,                 1.0516,                0.07596,                0.77321,                0.13643,                0.09316,                 1.0459,                 228.25,                0.64029,             0.00049486,             0.00049486,             0.00049486
                     18,                 1.6849,                 1.2136,                 1.0492,                0.07495,                 0.7266,                0.14119,                0.10283,                 1.0659,                 157.16,                0.64817,             0.00048904,             0.00048904,             0.00048904
                     19,                  1.686,                 1.2217,                 1.0451,                0.07928,                 0.7467,                0.14639,                0.10282,                 1.0568,                 163.47,                0.64818,             0.00048322,             0.00048322,             0.00048322
                     20,                 1.6632,                 1.1844,                 1.0417,                0.08253,                0.84717,                0.13413,                0.08636,                 1.0322,                 175.43,                0.63888,              0.0004774,              0.0004774,              0.0004774
                     21,                 1.6603,                 1.1882,                 1.0389,                0.07127,                0.77239,                0.15389,                0.11397,                 1.0446,                  170.6,                0.64419,             0.00047158,             0.00047158,             0.00047158
                     22,                 1.6588,                   1.17,                  1.033,                0.07256,                0.76896,                0.10926,                0.07129,                  1.041,                 175.93,                0.64088,             0.00046575,             0.00046575,             0.00046575
                     23,                 1.6593,                 1.1403,                 1.0403,                0.07615,                0.74707,                0.10861,                0.07717,                 1.0467,                 184.86,                0.64005,             0.00045993,             0.00045993,             0.00045993
                     24,                 1.6492,                 1.1522,                 1.0341,                0.07549,                 0.7741,                 0.0975,                0.06716,                 1.0507,                 138.65,                0.64515,             0.00045411,             0.00045411,             0.00045411
                     25,                 1.6274,                 1.1193,                 1.0269,                0.07601,                0.69626,                0.13518,                0.09503,                 1.0671,                 179.97,                0.64871,             0.00044829,             0.00044829,             0.00044829
                     26,                  1.626,                 1.1427,                 1.0285,                0.07029,                0.73705,                0.08731,                0.06072,                  1.031,                 177.44,                0.63657,             0.00044247,             0.00044247,             0.00044247
                     27,                  1.609,                 1.1084,                 1.0249,                0.07504,                0.90864,                0.12452,                0.08261,                 1.0679,                 193.05,                 0.6416,             0.00043665,             0.00043665,             0.00043665
                     28,                 1.6124,                 1.1047,                 1.0213,                 0.0735,                0.71615,                0.12865,                0.08842,                 1.0421,                 191.25,                0.63684,             0.00043083,             0.00043083,             0.00043083
                     29,                 1.6024,                 1.1006,                 1.0254,                0.06612,                0.78311,                0.11057,                0.07509,                   1.04,                 169.16,                0.63738,             0.00042501,             0.00042501,             0.00042501
                     30,                 1.5913,                 1.0999,                 1.0168,                0.07248,                0.77914,                0.14051,                0.10136,                 1.0105,                  186.2,                0.63766,             0.00041919,             0.00041919,             0.00041919
                     31,                  1.608,                 1.0946,                 1.0233,                0.08052,                0.53412,                0.12205,                0.09009,                 1.0337,                 206.23,                0.63669,             0.00041336,             0.00041336,             0.00041336
                     32,                 1.5921,                 1.0889,                 1.0168,                0.07569,                0.72459,                0.12531,                0.09489,                 1.0095,                  189.6,                0.63138,             0.00040754,             0.00040754,             0.00040754
                     33,                 1.5814,                 1.0598,                 1.0196,                0.07171,                0.74313,                0.15078,                0.10887,                 1.0017,                 217.72,                0.62977,             0.00040172,             0.00040172,             0.00040172
                     34,                 1.5897,                 1.0785,                 1.0152,                0.07641,                0.78978,                0.16727,                 0.1192,                 1.0077,                 191.46,                0.63445,              0.0003959,              0.0003959,              0.0003959
                     35,                 1.5741,                 1.0763,                 1.0196,                0.07711,                0.78811,                0.11947,                0.08074,                  1.027,                 176.45,                0.63282,             0.00039008,             0.00039008,             0.00039008
                     36,                 1.5748,                 1.0416,                 1.0167,                 0.0772,                0.79056,                0.16932,                 0.1327,                 1.0386,                 187.48,                0.63849,             0.00038426,             0.00038426,             0.00038426
                     37,                 1.5719,                 1.0612,                 1.0141,                0.07508,                0.75372,                0.12005,                0.08619,                 1.0262,                 191.54,                0.63436,             0.00037844,             0.00037844,             0.00037844
                     38,                 1.5681,                 1.0371,                 1.0154,                0.07343,                0.72428,                0.12389,                0.08579,                 1.0259,                 226.12,                0.63253,             0.00037262,             0.00037262,             0.00037262
                     39,                 1.5605,                 1.0324,                 1.0019,                0.07375,                0.77496,                0.13062,                0.09906,                 1.0227,                 191.15,                 0.6333,             0.00036679,             0.00036679,             0.00036679
                     40,                 1.5657,                 1.0456,                 1.0141,                0.07435,                 0.7967,                 0.1433,                0.10771,                 1.0174,                 202.76,                0.63361,             0.00036097,             0.00036097,             0.00036097
                     41,                   1.55,                 1.0416,                  1.008,                0.07826,                0.79671,                0.12208,                0.09114,                 1.0147,                 219.26,                0.62775,             0.00035515,             0.00035515,             0.00035515
                     42,                 1.5494,                   1.03,                 1.0056,                0.07439,                0.76491,                0.11101,                0.07711,                0.99779,                 182.18,                0.62761,             0.00034933,             0.00034933,             0.00034933
                     43,                 1.5407,                  1.015,                 1.0036,                0.07487,                0.80864,                0.11074,                0.07415,                 1.0021,                 222.44,                 0.6313,             0.00034351,             0.00034351,             0.00034351
                     44,                 1.5424,                 1.0197,                 1.0055,                0.07271,                0.73602,                0.11034,                0.08364,                 1.0117,                 188.05,                0.62752,             0.00033769,             0.00033769,             0.00033769
                     45,                 1.5283,                  1.015,                 1.0016,                 0.0814,                0.91255,                0.13785,                0.09573,                 1.0119,                 166.56,                0.63051,             0.00033187,             0.00033187,             0.00033187
                     46,                 1.5285,                0.99684,                0.99909,                0.07752,                0.72439,                 0.1149,                0.08032,                 1.0072,                 191.08,                0.62808,             0.00032605,             0.00032605,             0.00032605
                     47,                 1.5313,                 1.0163,                 1.0007,                0.07429,                0.75417,                0.14724,                0.10651,                0.99157,                 213.23,                 0.6279,             0.00032022,             0.00032022,             0.00032022
                     48,                 1.5245,                  1.002,                0.99915,                0.07879,                0.84379,                0.13148,                0.09502,                 1.0106,                 191.65,                0.62959,              0.0003144,              0.0003144,              0.0003144
                     49,                 1.5104,                0.99596,                 0.9956,                0.07303,                0.73102,                0.11189,                0.08435,                0.99151,                 227.89,                0.62616,             0.00030858,             0.00030858,             0.00030858
                     50,                 1.5034,                 0.9689,                0.99573,                0.07442,                 0.7981,                0.13136,                0.10319,                  1.005,                 239.66,                0.62381,             0.00030276,             0.00030276,             0.00030276
                     51,                 1.5193,                0.99064,                0.99229,                0.07052,                0.73455,                0.11778,                 0.0901,                  1.016,                 181.13,                0.62925,             0.00029694,             0.00029694,             0.00029694
                     52,                 1.5085,                 1.0036,                0.99313,                 0.0746,                0.77599,                0.13521,                0.10418,                0.99911,                 199.43,                0.62311,             0.00029112,             0.00029112,             0.00029112
                     53,                 1.5039,                0.98711,                0.99395,                0.07294,                0.80346,                0.12732,                0.09879,                0.99184,                 192.88,                0.62815,              0.0002853,              0.0002853,              0.0002853
                     54,                 1.4965,                0.97904,                0.98705,                0.07414,                0.75907,                0.11034,                0.08158,                 1.0017,                 174.88,                0.62666,             0.00027948,             0.00027948,             0.00027948
                     55,                 1.4879,                0.96474,                0.98427,                0.07649,                0.92745,                0.12786,                0.09271,                 1.0194,                 192.75,                0.62711,             0.00027366,             0.00027366,             0.00027366
                     56,                 1.4928,                0.96003,                0.99404,                0.07568,                0.79021,                0.10954,                0.08191,                0.98937,                 221.78,                0.62293,             0.00026783,             0.00026783,             0.00026783
                     57,                 1.4833,                0.96597,                0.98978,                0.09177,                0.88336,                0.11137,                0.07405,                 1.0092,                 171.96,                0.62941,             0.00026201,             0.00026201,             0.00026201
                     58,                 1.4969,                0.97084,                0.99027,                0.15054,                0.29029,                0.16153,                0.12855,                0.98431,                 177.16,                0.62174,             0.00025619,             0.00025619,             0.00025619
                     59,                 1.4814,                0.96788,                0.98733,                 0.0756,                0.66625,                0.21364,                0.17739,                 1.0016,                 202.87,                0.62818,             0.00025037,             0.00025037,             0.00025037
                     60,                  1.483,                0.95831,                0.98545,                0.07676,                0.78511,                0.13363,                0.09968,                0.98867,                 216.03,                0.61433,             0.00024455,             0.00024455,             0.00024455
                     61,                 1.4736,                0.94615,                0.98297,                0.07792,                0.76679,                0.11523,                0.08278,                0.99018,                 227.82,                 0.6281,             0.00023873,             0.00023873,             0.00023873
                     62,                 1.4724,                0.95698,                0.98078,                0.07364,                0.78448,                0.14951,                 0.1138,                 0.9962,                 208.41,                0.62354,             0.00023291,             0.00023291,             0.00023291
                     63,                 1.4739,                0.95462,                0.98464,                0.07267,                0.74482,                0.12117,                0.08861,                  1.002,                 209.65,                 0.6225,             0.00022709,             0.00022709,             0.00022709
                     64,                 1.4668,                0.94803,                0.98166,                0.07278,                0.71525,                0.12156,                0.08941,                0.99511,                 225.76,                0.62371,             0.00022126,             0.00022126,             0.00022126
                     65,                 1.4579,                0.93273,                0.97881,                 0.0749,                0.75076,                0.11859,                0.09161,                 1.0038,                 232.51,                0.62666,             0.00021544,             0.00021544,             0.00021544
                     66,                 1.4575,                0.93712,                0.98364,                0.07135,                0.81672,                 0.1341,                0.10375,                0.99976,                  231.4,                0.63036,             0.00020962,             0.00020962,             0.00020962
                     67,                  1.462,                0.92743,                0.98244,                0.34487,                0.23349,                0.18325,                 0.1486,                0.99877,                 211.38,                0.62365,              0.0002038,              0.0002038,              0.0002038
                     68,                 1.4587,                0.93879,                0.97691,                0.07342,                0.80884,                0.14174,                0.11373,                0.98465,                 219.88,                0.62056,             0.00019798,             0.00019798,             0.00019798
                     69,                 1.4469,                0.92551,                0.97736,                0.07728,                0.80298,                0.10911,                0.08133,                 1.0082,                 200.12,                0.62646,             0.00019216,             0.00019216,             0.00019216
                     70,                 1.4486,                0.93964,                0.98095,                0.07424,                0.77041,                 0.1186,                0.08816,                 1.0106,                 197.32,                0.62579,             0.00018634,             0.00018634,             0.00018634
                     71,                 1.4362,                0.91987,                0.97092,                 0.0738,                0.82212,                0.11505,                0.08547,                 1.0019,                 211.03,                0.62318,             0.00018052,             0.00018052,             0.00018052
                     72,                 1.4306,                0.91642,                0.97186,                0.07479,                0.76541,                0.11292,                0.08741,                 1.0016,                 203.93,                 0.6229,             0.00017469,             0.00017469,             0.00017469
                     73,                 1.4398,                0.91812,                0.97279,                0.08842,                0.92574,                0.13098,                0.09151,                 1.0134,                 196.85,                0.62614,             0.00016887,             0.00016887,             0.00016887
                     74,                 1.4301,                 0.9235,                0.97547,                0.07322,                0.80385,                0.13997,                0.11144,                0.99423,                 225.16,                0.61949,             0.00016305,             0.00016305,             0.00016305
                     75,                 1.4192,                0.89906,                0.97407,                0.07422,                0.79125,                0.11801,                0.08665,                 1.0046,                 223.04,                0.62367,             0.00015723,             0.00015723,             0.00015723
                     76,                  1.426,                0.91378,                0.96946,                0.07451,                0.72184,                0.11997,                0.08931,                0.99186,                 200.47,                0.62058,             0.00015141,             0.00015141,             0.00015141
                     77,                 1.4169,                0.90679,                  0.968,                0.07711,                0.80069,                0.12266,                0.09051,                0.99377,                 213.32,                0.62278,             0.00014559,             0.00014559,             0.00014559
                     78,                 1.4089,                0.89994,                0.97126,                 0.0721,                0.74637,                0.12462,                0.09233,                 1.0036,                 208.94,                0.62432,             0.00013977,             0.00013977,             0.00013977
                     79,                 1.4092,                0.89907,                0.97093,                0.08837,                0.85743,                0.12824,                0.09002,                0.99766,                  235.6,                0.62264,             0.00013395,             0.00013395,             0.00013395
                     80,                  1.416,                0.89495,                  0.973,                0.07394,                0.80506,                0.12434,                 0.0933,                0.99956,                 220.54,                0.62547,             0.00012813,             0.00012813,             0.00012813
                     81,                 1.4051,                0.90811,                0.96998,                0.07577,                0.72522,                0.11131,                0.08564,                0.99814,                  217.5,                0.62602,              0.0001223,              0.0001223,              0.0001223
                     82,                 1.4124,                 0.9069,                0.96865,                0.07437,                0.74784,                0.13095,                0.10221,                0.99989,                 222.78,                0.62572,             0.00011648,             0.00011648,             0.00011648
                     83,                 1.4119,                0.88271,                0.96971,                0.08914,                0.82571,                0.13907,                0.10117,                  1.001,                 248.67,                0.62412,             0.00011066,             0.00011066,             0.00011066
                     84,                 1.4007,                0.88487,                0.96594,                0.08907,                0.82939,                0.13064,                0.09164,                0.98117,                 237.37,                0.61859,             0.00010484,             0.00010484,             0.00010484
                     85,                 1.3948,                0.89219,                0.95988,                 0.0755,                  0.749,                0.10844,                0.08327,                0.98466,                 209.66,                0.61656,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     86,                 1.3945,                0.88044,                 0.9639,                0.07514,                0.74118,                0.11881,                0.08731,                0.98807,                 224.03,                 0.6195,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     87,                 1.3882,                0.87231,                 0.9648,                0.07396,                0.76521,                0.12112,                0.09263,                0.97717,                 234.48,                 0.6203,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     88,                 1.3814,                0.86511,                0.96426,                0.07387,                 0.7942,                0.11801,                0.09133,                0.98705,                 219.92,                0.61877,             8.1556e-05,             8.1556e-05,             8.1556e-05
                     89,                 1.3808,                0.86674,                0.96177,                0.07621,                 0.7699,                0.12849,                  0.101,                0.98392,                 230.83,                 0.6183,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     90,                 1.3862,                0.88126,                0.96424,                0.07274,                0.73238,                0.12111,                0.08974,                0.98461,                 219.39,                0.62072,             6.9913e-05,             6.9913e-05,             6.9913e-05
                     91,                 1.4295,                0.94034,                0.97947,                0.08154,                 0.9352,                0.12341,                 0.0886,                0.99607,                 217.52,                0.62881,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     92,                 1.3998,                0.90231,                0.96993,                0.07501,                0.75632,                0.11112,                0.08348,                0.98515,                 215.34,                0.62384,             5.8271e-05,             5.8271e-05,             5.8271e-05
                     93,                 1.3919,                0.89475,                0.96826,                0.07703,                0.80356,                0.11098,                0.08183,                0.98179,                 211.52,                0.62081,              5.245e-05,              5.245e-05,              5.245e-05
                     94,                 1.3752,                0.87484,                0.96796,                0.07845,                0.81403,                0.11264,                0.08436,                0.97935,                 211.41,                0.62092,             4.6628e-05,             4.6628e-05,             4.6628e-05
                     95,                 1.3796,                0.88374,                 0.9631,                0.07616,                0.80135,                 0.1128,                0.08427,                0.98378,                 222.35,                0.62244,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     96,                 1.3784,                0.87366,                0.96831,                0.08279,                0.85994,                0.11671,                0.08408,                0.99518,                 216.49,                0.62452,             3.4986e-05,             3.4986e-05,             3.4986e-05
                     97,                  1.363,                0.86615,                0.96126,                0.07666,                0.80514,                0.10567,                 0.0774,                0.98827,                 213.15,                0.62372,             2.9165e-05,             2.9165e-05,             2.9165e-05
                     98,                 1.3631,                0.88552,                0.96315,                0.08923,                0.83462,                0.11892,                0.08249,                0.99122,                 210.01,                 0.6232,             2.3344e-05,             2.3344e-05,             2.3344e-05
                     99,                  1.353,                0.85194,                0.96074,                0.08229,                0.87452,                0.11707,                0.08268,                0.99217,                 224.48,                0.62271,             1.7522e-05,             1.7522e-05,             1.7522e-05
                    100,                 1.3647,                0.86699,                0.96329,                0.07648,                0.79818,                0.11087,                 0.0813,                0.99289,                 216.94,                0.62379,             1.1701e-05,             1.1701e-05,             1.1701e-05
